Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-19,KR,Republic of Korea,WPRO,1,1,0,0
2020-01-20,KR,Republic of Korea,WPRO,0,1,0,0
2020-01-21,KR,Republic of Korea,WPRO,0,1,0,0
2020-01-22,KR,Republic of Korea,WPRO,0,1,0,0
2020-01-23,KR,Republic of Korea,WPRO,0,1,0,0
2020-01-24,KR,Republic of Korea,WPRO,1,2,0,0
2020-01-25,KR,Republic of Korea,WPRO,0,2,0,0
2020-01-26,KR,Republic of Korea,WPRO,1,3,0,0
2020-01-27,KR,Republic of Korea,WPRO,1,4,0,0
2020-01-28,KR,Republic of Korea,WPRO,0,4,0,0
2020-01-29,KR,Republic of Korea,WPRO,0,4,0,0
2020-01-30,KR,Republic of Korea,WPRO,2,6,0,0
2020-01-31,KR,Republic of Korea,WPRO,5,11,0,0
2020-02-01,KR,Republic of Korea,WPRO,1,12,0,0
2020-02-02,KR,Republic of Korea,WPRO,3,15,0,0
2020-02-03,KR,Republic of Korea,WPRO,0,15,0,0
2020-02-04,KR,Republic of Korea,WPRO,1,16,0,0
2020-02-05,KR,Republic of Korea,WPRO,2,18,0,0
2020-02-06,KR,Republic of Korea,WPRO,5,23,0,0
2020-02-07,KR,Republic of Korea,WPRO,1,24,0,0
2020-02-08,KR,Republic of Korea,WPRO,0,24,0,0
2020-02-09,KR,Republic of Korea,WPRO,3,27,0,0
2020-02-10,KR,Republic of Korea,WPRO,0,27,0,0
2020-02-11,KR,Republic of Korea,WPRO,1,28,0,0
2020-02-12,KR,Republic of Korea,WPRO,0,28,0,0
2020-02-13,KR,Republic of Korea,WPRO,0,28,0,0
2020-02-14,KR,Republic of Korea,WPRO,0,28,0,0
2020-02-15,KR,Republic of Korea,WPRO,0,28,0,0
2020-02-16,KR,Republic of Korea,WPRO,1,29,0,0
2020-02-17,KR,Republic of Korea,WPRO,1,30,0,0
2020-02-18,KR,Republic of Korea,WPRO,1,31,0,0
2020-02-19,KR,Republic of Korea,WPRO,20,51,0,0
2020-02-20,KR,Republic of Korea,WPRO,53,104,1,1
2020-02-21,KR,Republic of Korea,WPRO,100,204,0,1
2020-02-22,KR,Republic of Korea,WPRO,229,433,1,2
2020-02-23,KR,Republic of Korea,WPRO,169,602,0,2
2020-02-24,KR,Republic of Korea,WPRO,231,833,5,7
2020-02-25,KR,Republic of Korea,WPRO,144,977,3,10
2020-02-26,KR,Republic of Korea,WPRO,284,1261,2,12
2020-02-27,KR,Republic of Korea,WPRO,505,1766,1,13
2020-02-28,KR,Republic of Korea,WPRO,571,2337,0,13
2020-02-29,KR,Republic of Korea,WPRO,813,3150,4,17
2020-03-01,KR,Republic of Korea,WPRO,586,3736,1,18
2020-03-02,KR,Republic of Korea,WPRO,476,4212,4,22
2020-03-03,KR,Republic of Korea,WPRO,600,4812,6,28
2020-03-04,KR,Republic of Korea,WPRO,516,5328,4,32
2020-03-05,KR,Republic of Korea,WPRO,438,5766,3,35
2020-03-06,KR,Republic of Korea,WPRO,518,6284,7,42
2020-03-07,KR,Republic of Korea,WPRO,483,6767,2,44
2020-03-08,KR,Republic of Korea,WPRO,367,7134,6,50
2020-03-09,KR,Republic of Korea,WPRO,248,7382,1,51
2020-03-10,KR,Republic of Korea,WPRO,131,7513,3,54
2020-03-11,KR,Republic of Korea,WPRO,242,7755,6,60
2020-03-12,KR,Republic of Korea,WPRO,224,7979,6,66
2020-03-13,KR,Republic of Korea,WPRO,0,7979,1,67
2020-03-14,KR,Republic of Korea,WPRO,107,8086,5,72
2020-03-15,KR,Republic of Korea,WPRO,76,8162,3,75
2020-03-16,KR,Republic of Korea,WPRO,74,8236,0,75
2020-03-17,KR,Republic of Korea,WPRO,84,8320,6,81
2020-03-18,KR,Republic of Korea,WPRO,93,8413,3,84
